"FROTA";"ANO";"MES";"LAT";"LON";"EFF";"LAGE";"BRANCA";"BANDOLIM"
"BRA";1999;4;0;30;51716;28867,7484;2804,78;2070,2956
"BRA";1999;4;0;35;8752;4479,4782;498,37;139,9844
"BRA";1999;4;5;30;2000;248,8599;11,59;22,1028
"BRA";1999;4;20;25;10516;1659,066;81,13;14,7352
"BRA";1999;4;20;30;24311;10866,8823;370,88;125,2492
"BRA";1999;4;20;35;1800;0;0;7,3676
"BRA";1999;4;20;40;35000;6802,1706;1135,82;58,9408
"BRA";1999;4;25;35;5200;0;23,18;0
"BRA";1999;4;25;40;22280;0;347,7;287,3364
"BRA";1999;4;25;45;1720;0;11,59;0
"BRA";1999;4;30;35;2000;0;11,59;0
"BRA";1999;4;30;45;1200;414,7665;46,36;0
"BRA";1999;5;0;25;3100;1161,3462;34,77;29,4704
"BRA";1999;5;0;30;39900;27042,7758;683,81;832,5388
"BRA";1999;5;0;35;14352;414,7665;0;95,7788
"BRA";1999;5;20;25;14400;1990,8792;57,95;66,3084
"BRA";1999;5;20;30;6000;414,7665;11,59;7,3676
"BRA";1999;5;20;40;9400;912,4863;312,93;2939,6724
"BRA";1999;5;25;40;31900;0;1089,46;582,0404
"BRA";1999;5;25;45;41000;331,8132;3001,81;1075,6696
"BRA";1999;6;0;25;2800;0;208,62;0
"BRA";1999;6;0;30;23800;8958,9564;394,06;287,3364
"BRA";1999;6;0;35;10210;414,7665;127,49;7,3676
"BRA";1999;6;5;30;2800;414,7665;0;7,3676
"BRA";1999;6;20;40;5000;82,9533;150,67;1259,8596
"BRA";1999;6;25;40;4200;165,9066;382,47;29,4704
"BRA";1999;6;25;45;38480;1327,2528;2271,64;250,4984
"BRA";1999;6;30;45;12900;1742,0193;2364,36;81,0436
"BRA";1999;7;0;30;13400;3235,1787;173,85;0
"BRA";1999;7;0;35;7320;82,9533;11,59;0
"BRA";1999;7;5;30;13900;3235,1787;336,11;162,0872
"BRA";1999;7;10;30;5800;3815,8518;57,95;0
"BRA";1999;7;20;40;3200;0;11,59;0
"BRA";1999;7;20;45;1200;0;57,95;7,3676
"BRA";1999;7;25;40;63300;20489,4651;2758,42;1075,6696
"BRA";1999;7;25;45;54660;2903,3655;1900,76;1267,2272
"BRA";1999;7;30;45;1100;248,8599;0;0
"BRA";1999;8;0;30;540;0;0;0
"BRA";1999;8;0;35;7220;2654,5056;11,59;44,2056
"BRA";1999;8;5;30;11120;1742,0193;57,95;14,7352
"BRA";1999;8;5;35;520;0;0;0
"BRA";1999;8;20;40;25200;663,6264;718,58;302,0716
"BRA";1999;8;25;40;47400;1990,8792;1877,58;1105,14
"BRA";1999;8;25;45;42860;11032,7889;2063,02;302,0716
"BRA";1999;8;30;45;22700;15595,2204;1750,09;169,4548
"BRA";1999;9;0;30;800;165,9066;11,59;14,7352
"BRA";1999;9;0;35;11290;4728,3381;104,31;22,1028
"BRA";1999;9;5;25;800;82,9533;11,59;0
"BRA";1999;9;5;30;5400;1078,3929;173,85;139,9844
"BRA";1999;9;20;40;21200;1161,3462;46,36;7,3676
"BRA";1999;9;25;35;2000;82,9533;69,54;0
"BRA";1999;9;25;40;36800;1327,2528;718,58;287,3364
"BRA";1999;9;25;45;20600;1244,2995;683,81;125,2492
"BRA";1999;9;30;35;4900;2073,8325;0;14,7352
"BRA";1999;9;30;40;1000;331,8132;0;7,3676
"BRA";1999;9;30;45;19500;4562,4315;486,78;36,838
"BRA";1999;10;0;30;4800;995,4396;173,85;58,9408
"BRA";1999;10;0;35;13500;5309,0112;301,34;810,436
"BRA";1999;10;5;30;13800;4064,7117;301,34;0
"BRA";1999;10;5;35;1000;165,9066;0;29,4704
"BRA";1999;10;10;35;5000;0;115,9;110,514
"BRA";1999;10;20;40;11400;165,9066;139,08;22,1028
"BRA";1999;10;25;35;1000;248,8599;0;0
"BRA";1999;10;25;40;28600;2488,599;359,29;110,514
"BRA";1999;10;25;45;33800;1990,8792;231,8;154,7196
"BRA";1999;10;30;40;8000;3318,132;127,49;58,9408
"BRA";1999;10;30;45;17000;3235,1787;475,19;117,8816
"BRA";1999;10;30;50;2000;18249,726;428,83;66,3084
"BRA";1999;11;0;30;25800;19908,792;741,76;1554,5636
"BRA";1999;11;0;35;6400;4230,6183;57,95;361,0124
"BRA";1999;11;5;30;12000;5226,0579;776,53;14,7352
"BRA";1999;11;5;35;900;0;11,59;29,4704
"BRA";1999;11;10;35;21000;11115,7422;788,12;51,5732
"BRA";1999;11;15;30;1000;0;23,18;81,0436
"BRA";1999;11;15;35;13000;2571,5523;347,7;117,8816
"BRA";1999;11;20;35;3000;82,9533;11,59;0
"BRA";1999;11;20;40;7000;248,8599;11,59;7,3676
"BRA";1999;11;25;40;2000;0;23,18;0
"BRA";1999;12;0;30;19200;13355,4813;486,78;1046,1992
"BRA";1999;12;0;35;12300;14102,061;23,18;346,2772
"BRA";1999;12;5;30;13800;4562,4315;556,32;58,9408
"BRA";1999;12;10;35;2630;829,533;289,75;14,7352
"BRA";1999;12;15;30;1100;165,9066;34,77;0
"BRA";1999;12;15;35;4400;663,6264;197,03;0
"BRA";1999;12;20;30;7900;746,5797;81,13;0
"BRA";1999;12;20;35;21100;29116,6083;822,89;44,2056
"BRA";1999;12;20;40;19600;414,7665;0;0
"BRA";1999;12;25;40;4600;82,9533;23,18;0
"BRA";1999;12;25;45;20200;912,4863;23,18;7,3676
"BRA";1999;12;30;45;1200;829,533;0;7,3676
"BRA";1999;12;30;50;2400;3898,8051;0;0
"BRA";2000;1;0;30;66400;12827,76;1524,37;17725,18
"BRA";2000;1;0;35;4000;348,04;21,47;2261,13
"BRA";2000;1;5;30;1000;447,48;21,47;51,98
"BRA";2000;1;10;30;1200;174,02;0;77,97
"BRA";2000;1;10;35;2400;24,86;0;441,83
"BRA";2000;1;15;35;1200;24,86;21,47;0
"BRA";2000;2;0;20;800;74,58;85,88;0
"BRA";2000;2;0;25;3400;348,04;21,47;831,68
"BRA";2000;2;0;30;124030;18446,12;4637,52;21909,57
"BRA";2000;2;0;35;9200;2013,66;42,94;2754,94
"BRA";2000;2;5;30;900;223,74;42,94;25,99
"BRA";2000;2;20;25;900;0;42,94;0
"BRA";2000;3;0;20;1000;74,58;42,94;25,99
"BRA";2000;3;0;25;11200;2610,3;236,17;1429,45
"BRA";2000;3;0;30;73390;11535,04;3091,68;6939,33
"BRA";2000;3;0;35;22600;2013,66;579,69;5457,9
"BRA";2000;3;5;30;1700;348,04;21,47;0
"BRA";2000;3;10;30;1800;0;21,47;25,99
"BRA";2000;3;15;30;1800;0;21,47;0
"BRA";2000;3;20;25;1800;0;21,47;0
"BRA";2000;4;0;20;1200;24,86;0;77,97
"BRA";2000;4;0;25;20720;1019,26;128,82;2884,89
"BRA";2000;4;0;30;24700;1019,26;128,82;1637,37
"BRA";2000;4;0;35;19000;198,88;0;0
"BRA";2000;4;30;35;500;0;0;0
"BRA";2000;5;0;20;1000;24,86;42,94;77,97
